geneSymbol,log2FC,p_value,FDR,type
HNG_029772,0.6438572997763732,1.7585238112752633e-06,0.0007888205689845612,UP
Slc1a1,0.9667412835159044,1.791346098201743e-06,0.0007888205689845612,UP
Selp,2.3732463941266975,1.8216691378036765e-06,0.0007901903900936584,UP
Rragd,0.7022247862894697,1.909625957815521e-06,0.0008070079999991972,UP
Hoxb9,1.664316896289181,1.8932914959667252e-06,0.0008070079999991972,UP
D14Ertd668e,1.8153347030305862,1.9238637744924798e-06,0.0008070079999991972,UP
HNG_018160,-0.8336999508484748,2.042174379980987e-06,0.0008473247873112417,DN
Mcm3,-0.44075765767295927,2.111648404478659e-06,0.0008667294935027889,DN
HAG_040210,-0.996631994286298,2.172722232938645e-06,0.0008730226639550943,DN
HNG_008959,-0.9599873280773439,2.1576950793837624e-06,0.0008730226639550943,DN
2310069B03Rik,1.1970975483059374,2.22255916579098e-06,0.0008837450882976383,UP
Pbx3,1.0705873994213748,2.3099754199692693e-06,0.0008906705225360297,UP
Epcam,1.6499784784297897,2.288621913462786e-06,0.0008906705225360297,UP
Kcna4,0.4154719924704854,2.304409882934696e-06,0.0008906705225360297,UP
St3gal5,-1.1868970313710676,2.3776631776278766e-06,0.0009054278306616805,DN
Pde9a,1.2301435976459114,2.3956882242698764e-06,0.0009054278306616805,UP
Slc6a15,0.5555411218860806,2.675471963698827e-06,0.0009816472264342182,UP
Myo6,0.7558656730659576,2.695690923171466e-06,0.0009816472264342182,UP
Ocln,1.3513258516144444,2.700224216063945e-06,0.0009816472264342182,UP
Uap1,-0.378207339354633,2.6333273146798143e-06,0.0009816472264342182,DN
AK080222,0.9773278871898361,2.8066758810436063e-06,0.0009942108971647042,UP
2510009E07Rik,0.4375898689602762,2.794067004287515e-06,0.0009942108971647042,UP
Neo1,1.6158664140228671,2.812919859944149e-06,0.0009942108971647042,UP
HNG_025689,0.5350965615887523,2.859596340032609e-06,0.0010014358852451814,UP
Sfrp1,1.5341287937418802,2.9374654858396814e-06,0.0010193539320497483,UP
Tmem215,2.1859921121328134,3.0186032586070837e-06,0.0010380731854734199,UP
Rassf10,1.6872728042942347,3.0552423239756785e-06,0.001041292053489282,UP
Cdc25a,-0.5318306173663094,3.0957735742242957e-06,0.0010457687511087595,DN
HAG_034696,0.4832171219560255,3.1869975809505707e-06,0.0010662876433468183,UP
Steap3,-0.8822755781256095,3.212382871866397e-06,0.0010662876433468183,DN
Fam63a,0.6169179267872531,3.3229753720806924e-06,0.0010934880681298638,UP
"Snrpn,Snurf",0.8998863498766005,3.3882904264594434e-06,0.0011054514714428196,UP
Cxxc4,0.9208484893497803,3.4702772914103895e-06,0.0011131716367035074,UP
B3gnt3,0.8922661218768018,3.4654254842448256e-06,0.0011131716367035074,UP
Npnt,0.7512961833458727,3.5079530692543606e-06,0.0011158798713298123,UP
Parvb,-0.9485023476787422,3.582244663173104e-06,0.0011164036291243505,DN
C530028O21Rik,1.6006594340043316,3.5973395782850025e-06,0.0011164036291243505,UP
3632451O06Rik,1.0671650239367367,3.5650505077552215e-06,0.0011164036291243505,UP
HNG_016032,1.8163533357250232,3.982077825314168e-06,0.0012258376995797774,UP
Wwtr1,1.7784341320653656,4.165936521603408e-06,0.0012521427472649235,UP
Rrm2,-0.5201636802780394,4.147102704240037e-06,0.0012521427472649235,DN
Slc22a3,-0.8810632712017483,4.127366252536862e-06,0.0012521427472649235,DN
Cldn5,3.095104575595821,4.234783521185088e-06,0.0012628918482084155,UP
Carhsp1,-0.4745826783697291,4.382208140547747e-06,0.001296725962333245,DN
Fut1,0.6058880198446737,4.470678162924724e-06,0.0013127286679627888,UP
Lancl3,0.8737508577298749,4.551735044594451e-06,0.0013263269474981631,UP
Kcnn2,0.39921154636383277,4.641332853125169e-06,0.001342189073253742,UP
Smoc1,0.568520906600892,4.786359527944765e-06,0.0013737211721857713,UP
Rorb,2.7946102524108634,4.9059607426478856e-06,0.0013803657304086966,UP
C1qc,-0.8277073768658445,4.940744032829455e-06,0.0013803657304086966,DN
Cd5l,-1.0869688308393004,5.050527340210466e-06,0.0013803657304086966,DN
Prkd1,1.057020494804473,5.062642833941568e-06,0.0013803657304086966,UP
Ccdc92,1.3879822876848558,4.965270786454916e-06,0.0013803657304086966,UP
Rcvrn,1.8793481617469803,5.000840917691558e-06,0.0013803657304086966,UP
Tmem132b,1.5344120198860982,4.901507948265631e-06,0.0013803657304086966,UP
Eid2,0.5651406619209824,5.150771605545666e-06,0.0013944344235949588,UP
Socs2,-1.3246156730633158,5.256103579354763e-06,0.001412929477684014,DN
C7,1.2227959720352823,5.384936442023628e-06,0.0014274569018397631,UP
Sec14l1,0.5774077618252473,5.352456014663664e-06,0.0014274569018397631,UP
Gm106,3.4561796946368912,5.447727809750058e-06,0.0014341425238191669,UP
HAG_008121,1.1022039724533395,5.663645015551213e-06,0.0014663301678779189,UP
"Mir702,Plod3",0.21421887811067375,5.685236949751965e-06,0.0014663301678779189,UP
Dusp18,0.5382864860835239,5.684846946546175e-06,0.0014663301678779189,UP
Hnf4a,-1.4473229280987203,5.955532968897963e-06,0.0015189134537788836,DN
Samsn1,0.3669711301961236,5.968694804223843e-06,0.0015189134537788836,UP
Shisa7,1.8296508708155514,6.044456292744597e-06,0.001528006527196336,UP
4732418C07Rik,0.31437345355362467,6.0978682027622536e-06,0.0015313672699726363,UP
Ccdc160,0.7861896012268242,6.29314497927015e-06,0.0015700779748281056,UP
Tmtc2,0.5660413955918218,6.491039084689961e-06,0.0016089347009141896,UP
Vps37b,-0.38867380543530494,6.669214618537875e-06,0.0016318484580719291,DN
Chrm3,2.2700606153670577,6.711731319220708e-06,0.0016318484580719291,UP
Nrarp,0.3850236666163074,6.665802539092597e-06,0.0016318484580719291,UP
Zfp367,-0.3307917176588324,6.886885195419147e-06,0.001663836592908479,DN
Chek1,-0.4258935373516106,6.978522477424749e-06,0.0016753720755236323,DN
Unc119,-0.15035508888662097,7.065659515012765e-06,0.0016856897187941704,DN
Cpm,0.7789984105506216,7.435601877320027e-06,0.0017412993549758287,UP
Cpeb1,0.8370900912069792,7.427747272451174e-06,0.0017412993549758287,UP
Smagp,0.8854801215407706,7.3556798944907225e-06,0.0017412993549758287,UP
Mmp14,0.8575204969973411,7.517495237877919e-06,0.0017497428550016824,UP
Eya4,1.9557072363590589,8.009368412386255e-06,0.0018307401858539407,UP
Emp2,1.568081748569481,7.972111609430337e-06,0.0018307401858539407,UP
HAG_017916,1.48995948764217,7.965736732263414e-06,0.0018307401858539407,UP
Casp12,0.9452442845118361,8.184361806568934e-06,0.0018596039219068415,UP
Tox,0.832233441293396,8.30533466517013e-06,0.0018759244665022142,UP
Maf,1.1261034258026812,8.729598125349532e-06,0.0019601542331814255,UP
Cenpa,-0.4769703830940255,8.835225336237079e-06,0.001965324223268506,DN
HND_003847,0.9899525168914254,8.855594844445748e-06,0.001965324223268506,UP
Tmem117,1.7109500866159792,9.033164982483478e-06,0.0019703655640649106,UP
Anxa6,-1.16087270872631,9.012157619338864e-06,0.0019703655640649106,DN
HAG_011341,0.9866300764406533,8.993498678316797e-06,0.0019703655640649106,UP
Ust,-0.44592980147402306,9.092583498609062e-06,0.001972057371073324,DN
"C530008M17Rik,Gm10430",0.5125669261849874,9.180736102951973e-06,0.0019769494282478547,UP
Cited4,0.8250656394862239,9.24656386586166e-06,0.0019769494282478547,UP
Exoc6b,0.9348722683767319,9.27051104622147e-06,0.0019769494282478547,UP
Hk2,0.5585896509203971,9.614394919208046e-06,0.002038892682533386,UP
E2f5,0.47617408224456703,9.895626886495362e-06,0.002086938505587298,UP
1600012H06Rik,0.20750754631496182,1.0012396343009397e-05,0.0020999626000294215,UP
Elk3,-0.1947530044680743,1.0125408613716888e-05,0.0021120606426382575,DN
Zfp648,0.43476656026013244,1.0279186936346493e-05,0.002132484368120752,UP
Efemp2,1.402634473935085,1.0433316344401485e-05,0.0021527597378296947,UP
Lsp1,-0.48898885948064663,1.0883764700738369e-05,0.002221684845757139,DN
Sec24d,-0.6010248351062746,1.085654651215041e-05,0.002221684845757139,DN
C130026I21Rik,1.3455624565338022,1.1173725351147906e-05,0.002246628296522535,UP
HAG_028064,0.7669519803513003,1.1241381238494293e-05,0.002246628296522535,UP
HAG_039773,1.5377807033451392,1.1214379986539253e-05,0.002246628296522535,UP
Fads3,1.1825296692181508,1.1219345647040497e-05,0.002246628296522535,UP
Abca5,0.4525891975970264,1.1372654089836763e-05,0.0022610257912356714,UP
Spc25,-0.3852978687251243,1.1560357586334473e-05,0.0022864350766091165,DN
Nup205,-0.21292883459710144,1.1771579354513223e-05,0.0023023678348231213,DN
Pde2a,0.5245644291544354,1.182186145932442e-05,0.0023023678348231213,UP
Selplg,-0.3354568265360296,1.1706526416025958e-05,0.0023023678348231213,DN
Slc28a2,-0.81813623797927,1.2148808641770521e-05,0.002344860761819592,DN
Lsr,1.4726022507842136,1.2162905554864279e-05,0.002344860761819592,UP
6430527G18Rik,1.0830649488274267,1.2729497236117846e-05,0.0024365043319909056,UP
HNG_009385,-0.7189030473872372,1.282847711832192e-05,0.0024365043319909056,DN
Rhag,-1.1217187004479783,1.2829754027302003e-05,0.0024365043319909056,DN
Otub2,0.42012119844394125,1.3035319153671511e-05,0.0024373590061829925,UP
Ezh1,0.6281257859820188,1.3033152411391318e-05,0.0024373590061829925,UP
Rab40b,0.9805639110132676,1.3089662482120754e-05,0.0024373590061829925,UP
Bcl3,0.8611359862473513,1.3038602618611688e-05,0.0024373590061829925,UP
Snx31,-0.48484063212908746,1.334981645051987e-05,0.002461783543716157,DN
Ramp2,2.6707595304509875,1.3293522836267383e-05,0.002461783543716157,UP
Tc2n,2.174843172237965,1.345766972186932e-05,0.0024670330045635036,UP
BC067074,0.5904028326972743,1.350754212390685e-05,0.0024670330045635036,UP
Ccna2,-0.4242954525169269,1.3782651765318837e-05,0.002493418877657586,DN
Sntg2,0.8948939826300827,1.3751297043822012e-05,0.002493418877657586,UP
Pgr,1.626255468069676,1.3913823027710082e-05,0.0025052757198761755,UP
Synpo2,-1.7041571638853772,1.4315964014372934e-05,0.002555360781248147,DN
Msh6,-0.20724845030193073,1.4325872555462209e-05,0.002555360781248147,DN
B3galt1,1.0496658427223724,1.4637913017287112e-05,0.0025988763520738774,UP
Gins1,-0.45138341413305705,1.4765162832966518e-05,0.0026093323873148055,DN
Il6st,0.37464783267186963,1.4973544438001982e-05,0.002633963770909731,UP
HNG_002132,1.4274058925830242,1.526084721377492e-05,0.002672188347909249,UP
Col18a1,1.4264254320475498,1.5490931285825995e-05,0.002700090543573287,UP
Mc5r,-1.1413883407289185,1.5980024296671953e-05,0.002735378867500277,DN
