geneSymbol,log2FC,p_value,FDR,type,young_promoter_methylation,young_CpG_count,aged_promoter_methylation,aged_CpG_count,promoter_methylation_change,multiomics_pattern
Arhgef26,1.1912568757892652,3.257595573136353e-07,0.0003454137172715,UP,0.55,20.0,0.7214285714285714,14,0.17142857142857137,RNA_UP_METHYLATION_UP
HAG_008922,0.3174287832697171,3.4788830411850474e-07,0.0003589079012111,UP,0.8610833333333333,12.0,0.90625,16,0.04516666666666669,RNA_UP_METHYLATION_UP
Aurkb,-0.5072249605950656,3.7030626276415155e-07,0.0003624443759546,DN,0.675,15.0,0.42158823529411765,17,-0.2534117647058824,RNA_DOWN_METHYLATION_DOWN
Mab21l2,3.250275540983594,3.6316794461162105e-07,0.0003624443759546,UP,0.4833,20.0,0.32332,25,-0.15998,RNA_UP_METHYLATION_DOWN
Apol10b,1.7855397692912836,4.0857947727028756e-07,0.000389907395159,UP,0.8545454545454546,22.0,0.8947368421052632,19,0.040191387559808556,RNA_UP_METHYLATION_UP
HAG_021866,1.514102753901491,4.4106415452406547e-07,0.0004106414855242,UP,0.45395238095238094,21.0,0.25,18,-0.20395238095238094,RNA_UP_METHYLATION_DOWN
Cyp4b1,1.132187003121232,4.623446451402378e-07,0.0004202052331974,UP,1.0,8.0,0.9375,8,-0.0625,RNA_UP_METHYLATION_DOWN
Itgb5,-1.3575280341880136,4.899634448981695e-07,0.0004349508050849,DN,0.609,26.0,0.39393181818181816,44,-0.21506818181818183,RNA_DOWN_METHYLATION_DOWN
Bmpr1a,2.3254183169211107,5.11792457087889e-07,0.0004427360545349,UP,0.2113636363636364,44.0,0.17856896551724136,58,-0.032794670846395035,RNA_UP_METHYLATION_DOWN
HNG_003201,1.2384723380144076,5.219302749154173e-07,0.0004427360545349,UP,0.982125,8.0,1.0,7,0.017874999999999974,RNA_UP_METHYLATION_UP
Gstm2,2.2699349124640507,5.450423688442482e-07,0.0004522903761635,UP,0.8409090909090909,22.0,0.9259444444444446,18,0.08503535353535363,RNA_UP_METHYLATION_UP
BC058988,0.7072172959944538,5.971859973187923e-07,0.0004835525663048,UP,0.7666999999999999,10.0,0.6095714285714285,7,-0.1571285714285714,RNA_UP_METHYLATION_DOWN
Osmr,2.9824115022996702,6.080510107573723e-07,0.0004835525663048,UP,0.3687906976744186,43.0,0.2625,40,-0.10629069767441857,RNA_UP_METHYLATION_DOWN
4931406C07Rik,0.4412294233651153,6.736175048493198e-07,0.0005247617835736,UP,0.18153846153846154,26.0,0.18364285714285716,28,0.002104395604395626,RNA_UP_METHYLATION_UP
Rasef,2.200431038605742,7.152143733404871e-07,0.000546023261183,UP,0.19622641509433963,53.0,0.3,25,0.10377358490566035,RNA_UP_METHYLATION_UP
Itgb3,1.3234320246756628,8.073540949407074e-07,0.0005814777455108,UP,0.3903076923076923,26.0,0.37668,25,-0.013627692307692285,RNA_UP_METHYLATION_DOWN
